tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HU2378,12.5,0,0,0
HU2379,16.44,0,0,0
HU2380,9.96,0,0,0
HU2381,5.21,0,0,0
HU2382,4.85,0,0,0
HU2383,4.21,0,0,0
HU2444,0,0,0,0
HU2445,0.28,0,0,1.2
HU2446,1.01,0,0,6.11
HU2447,0,0,0,18.77
HU2448,0,0,0,16.94
HU2449,0,0,0,19.62
HU2450,0,0,0,100
HU2451,0,0,0,100
HU2452,0,0,0,100
HU2453,0,0,0,100
HU2454,2.19,0,0,10.31
HU2455,0.36,0,0,32.97
HU2456,0,4.75,0,22.42
HU2457,0,0.77,0,0
HU2458,0.05,0.82,0,0
HU2459,0,0.05,0,0
HU2477,1.25,0,0,0
HU2478,4.07,0,0,1.11
HU2479,9.94,0,0,4.34
HU2480,14.93,0,0,0.23
HU2481,25,0,0,0
HU2482,16.67,0,0,0
HU2483,15.02,0,0,0
HU2484,36.61,0,0,0
HU2485,5.87,0,0,0
HU2543,0.09,0,0,0
HU2544,3.65,0,0,0.62
HU2545,13.01,0,0,0.07
HU2546,5.74,0,0,4.68
HU2547,0,0,0,25.75
HU2548,0,0,0,64.74
HU2549,0,0,0,50
HU2550,0,0,0,100
HU2551,0,0,0,65.42
HU2552,0,0,0,100
HU2553,0,0,0,100
HU2554,8.06,0,0,11.94
HU2555,2.54,0,0,11.74
HU2556,0,1.88,0,18.29
HU2557,0,5.27,0,0
HU2558,0.07,2.93,0,0
HU2559,0,0.17,0,0
HU2575,0.18,0,0,0
HU2577,2.77,0,0,0
HU2578,27.86,0,0,0
HU2579,32.75,0,0,0.58
HU2580,15.96,0,0,0.71
HU2581,33.33,0,0,0
HU2582,25,0,0,0
HU2583,20,0,0,0
HU2584,33.33,0,0,0
HU2585,12.44,0,0,0
HU2643,0.18,0,0,0
HU2644,4.41,0.04,0,1.94
HU2645,19.35,0.65,0,0
HU2646,8.9,0,0,12.93
HU2647,0,0,0,9.99
