"","tile_name","percent","Depth"
"366","NH4953",8.33,"Deep"
"367","NH4954",10.43,"Deep"
"368","NH5028",8.33,"Deep"
"369","NH5038",20,"Deep"
"370","NH5041",12.5,"Deep"
"371","NH5047",16.67,"Deep"
"372","NH5050",7.14,"Deep"
"373","NH5051",12.5,"Deep"
"374","NH5054",10,"Deep"
"375","NH5056",4.38,"Deep"
"376","NH5057",2.12,"Deep"
"377","NH5073",0.62,"Deep"
"378","NH5080",6.46,"Deep"
"379","NH5100",4.05,"Deep"
"380","NH5129",20,"Deep"
"381","NH5130",20,"Deep"
"382","NH5137",9.09,"Deep"
"383","NH5138",16.67,"Deep"
"384","NH5139",6.25,"Deep"
"385","NH5147",12.38,"Deep"
"386","NH5149",11.11,"Deep"
"387","NH5150",5.26,"Deep"
"388","NH5151",5.26,"Deep"
"389","NH5154",16.67,"Deep"
"390","NH5159",6.67,"Deep"
"391","NH5171",4.6,"Deep"
"392","NH5172",2.43,"Deep"
"393","NH5175",5.53,"Deep"
"394","NH5181",8.18,"Deep"
"395","NH5182",12.25,"Deep"
"396","NH5192",5.39,"Deep"
"397","NH5198",2.87,"Deep"
"398","NH5229",4.91,"Deep"
"399","NH5246",9.5,"Deep"
"400","NH5247",7.69,"Deep"
"401","NH5248",7.14,"Deep"
"402","NH5249",11.11,"Deep"
"403","NH5250",9.09,"Deep"
"404","NH5253",6.67,"Deep"
"405","NH5254",10,"Deep"
"406","NH5255",15.17,"Deep"
"407","NH5259",6.71,"Deep"
"408","NH5270",8.3,"Deep"
"409","NH5271",4.83,"Deep"
"410","NH5275",3.83,"Deep"
"411","NH5281",7.92,"Deep"
"412","NH5282",3.72,"Deep"
"413","NH5283",4.57,"Deep"
"414","NH5291",7.38,"Deep"
"415","NH5292",3.38,"Deep"
"416","NH5298",2.1,"Deep"
"417","NH5346",18,"Deep"
"418","NH5348",16.67,"Deep"
"419","NH5349",50,"Deep"
"420","NH5350",8.33,"Deep"
"421","NH5354",6.67,"Deep"
"422","NH5356",6.5,"Deep"
"423","NH5359",6.71,"Deep"
"424","NH5360",8.9,"Deep"
"425","NH5373",25,"Deep"
"426","NH5375",1.73,"Deep"
"427","NH5380",4.44,"Deep"
"428","NH5381",8.17,"Deep"
"429","NH5382",3.9,"Deep"
"430","NH5391",4,"Deep"
"431","NH5397",2.63,"Deep"
"432","NH5398",2.63,"Deep"
"433","NH5447",17.2,"Deep"
"434","NH5448",7.69,"Deep"
"435","NH5449",10,"Deep"
"436","NH5450",12.5,"Deep"
"437","NH5451",33.33,"Deep"
"438","NH5452",15.2,"Deep"
"439","NH5453",9.5,"Deep"
"440","NH5455",6.25,"Deep"
"441","NH5457",8.33,"Deep"
"442","NH5459",6.67,"Deep"
"443","NH5471",20,"Deep"
"444","NH5472",24,"Deep"
"445","NH5474",6.2,"Deep"
"446","NH5480",12.25,"Deep"
"447","NH5481",6.93,"Deep"
"448","NH5482",10,"Deep"
"449","NH5490",4.66,"Deep"
"450","NH5497",1.22,"Deep"
"451","NH5498",1.82,"Deep"
"452","NH5547",18.2,"Deep"
"453","NH5548",4.88,"Deep"
"454","NH5549",7.62,"Deep"
"455","NH5550",20,"Deep"
"456","NH5551",33.33,"Deep"
"457","NH5557",6.14,"Deep"
"458","NH5558",11,"Deep"
"459","NH5559",5.44,"Deep"
"460","NH5560",6.07,"Deep"
"461","NH5571",16.5,"Deep"
"462","NH5572",14.29,"Deep"
"463","NH5575",3.46,"Deep"
"464","NH5580",6,"Deep"
"465","NH5581",10,"Deep"
"466","NH5582",12.5,"Deep"
"467","NH5583",5.41,"Deep"
"468","NH5587",4.23,"Deep"
"469","NH5588",2.44,"Deep"
"470","NH5590",7.15,"Deep"
"471","NH5632",0.78,"Deep"
"472","NH5633",0.93,"Deep"
"473","NH5649",7.14,"Deep"
"474","NH5650",33.33,"Deep"
"475","NH5652",50,"Deep"
"476","NH5657",4.94,"Deep"
"477","NH5661",7.83,"Deep"
"478","NH5662",4.23,"Deep"
"479","NH5665",4.5,"Deep"
"480","NH5667",4.3,"Deep"
"481","NH5668",8.82,"Deep"
"482","NH5672",9.62,"Deep"
"483","NH5674",3.72,"Deep"
"484","NH5675",4.08,"Deep"
"485","NH5676",10.56,"Deep"
"486","NH5677",5.24,"Deep"
"487","NH5679",3.41,"Deep"
"488","NH5680",7.46,"Deep"
"489","NH5682",16.67,"Deep"
"490","NH5683",4.14,"Deep"
"491","NH5687",2.86,"Deep"
"492","NH5688",3.93,"Deep"
"493","NH5696",1.72,"Deep"
"494","NH5697",1.77,"Deep"
"495","NH5749",7.69,"Deep"
"496","NH5753",25,"Deep"
"497","NH5754",25,"Deep"
"498","NH5756",14.29,"Deep"
"499","NH5757",9.9,"Deep"
"500","NH5758",9.8,"Deep"
"501","NH5761",7.17,"Deep"
"502","NH5766",4.94,"Deep"
"503","NH5772",3.65,"Deep"
"504","NH5773",3.89,"Deep"
"505","NH5774",2.28,"Deep"
"506","NH5776",5.39,"Deep"
"507","NH5777",6.62,"Deep"
"508","NH5785",8.33,"Deep"
"509","NH5786",16.67,"Deep"
"510","NH5788",5.31,"Deep"
"511","NH5789",11.11,"Deep"
"512","NH5790",5.7,"Deep"
"513","NH5791",4.54,"Deep"
"514","NH5793",10,"Deep"
"515","NH5794",3.36,"Deep"
"516","NH5795",0.93,"Deep"
"517","NH5845",7.69,"Deep"
"518","NH5849",5.21,"Deep"
"519","NH5852",25,"Deep"
"520","NH5853",20,"Deep"
"521","NH5854",50,"Deep"
"522","NH5855",100,"Deep"
"523","NH5856",25,"Deep"
"524","NH5857",10.56,"Deep"
"525","NH5858",7.69,"Deep"
"526","NH5873",6.71,"Deep"
"527","NH5876",3.69,"Deep"
"528","NH5885",7.69,"Deep"
"529","NH5886",12.5,"Deep"
"530","NH5887",12.5,"Deep"
"531","NH5888",5.39,"Deep"
"532","NH5889",3.95,"Deep"
"533","NH5891",4.76,"Deep"
"534","NH5893",2.92,"Deep"
"535","NH5929",2.48,"Deep"
"536","NH5933",10.22,"Deep"
"537","NH5934",5.71,"Deep"
"538","NH5935",6.54,"Deep"
"539","NH5948",2.83,"Deep"
"540","NH5951",14.29,"Deep"
"541","NH5952",7.14,"Deep"
"542","NH5956",25,"Deep"
"543","NH5957",14.2,"Deep"
"544","NH5958",6.67,"Deep"
"545","NH5959",4.16,"Deep"
"546","NH5960",2.44,"Deep"
"547","NH5963",4.68,"Deep"
"548","NH5964",10,"Deep"
"549","NH5966",3.03,"Deep"
"550","NH5976",6.07,"Deep"
"551","NH5979",9.8,"Deep"
"552","NH5980",7,"Deep"
"553","NH5983",7.75,"Deep"
"554","NH5984",6.07,"Deep"
"555","NH5987",2.64,"Deep"
"556","NH5988",4.04,"Deep"
"557","NH5989",3.14,"Deep"
"558","NH5990",5.47,"Deep"
"559","NH5991",3.17,"Deep"
"560","NH5992",5.91,"Deep"
"561","NH6034",7,"Deep"
"562","NH6035",10,"Deep"
"563","NH6055",33,"Deep"
"564","NH6056",24.25,"Deep"
"565","NH6064",7.2,"Deep"
"566","NH6066",4.45,"Deep"
"567","NH6067",5.21,"Deep"
"568","NH6068",9.5,"Deep"
"569","NH6072",7.89,"Deep"
"570","NH6077",17.8,"Deep"
"571","NH6078",16.17,"Deep"
"572","NH6079",11.5,"Deep"
"573","NH6080",8.55,"Deep"
"574","NH6083",10.44,"Deep"
"575","NH6084",8.73,"Deep"
"576","NH6086",3.31,"Deep"
"577","NH6089",3.18,"Deep"
"578","NH6090",6.06,"Deep"
"579","NH6091",5.87,"Deep"
"580","NH6144",20,"Deep"
"581","NH6145",8.33,"Deep"
"582","NH6150",5.58,"Deep"
"583","NH6152",25,"Deep"
"584","NH6153",12.5,"Deep"
"585","NH6154",50,"Deep"
"586","NH6155",25,"Deep"
"587","NH6156",25,"Deep"
"588","NH6159",9.2,"Deep"
"589","NH6165",4.26,"Deep"
"590","NH6166",10,"Deep"
"591","NH6169",5.67,"Deep"
"592","NH6172",4.33,"Deep"
"593","NH6173",3.76,"Deep"
"594","NH6174",10,"Deep"
"595","NH6176",3.71,"Deep"
"596","NH6178",10.75,"Deep"
"597","NH6181",12.5,"Deep"
"598","NH6182",15.33,"Deep"
"599","NH6183",11.5,"Deep"
"600","NH6184",12.38,"Deep"
"601","NH6238",10,"Deep"
"602","NH6243",6.67,"Deep"
"603","NH6249",10.89,"Deep"
"604","NH6252",25,"Deep"
"605","NH6253",12.5,"Deep"
"606","NH6254",16.5,"Deep"
"607","NH6255",33.33,"Deep"
"608","NH6256",33.33,"Deep"
"609","NH6258",50,"Deep"
"610","NH6259",16.67,"Deep"
"611","NH6260",12.5,"Deep"
"612","NH6265",18,"Deep"
"613","NH6266",20,"Deep"
"614","NH6267",11.11,"Deep"
"615","NH6270",4.37,"Deep"
"616","NH6271",7.4,"Deep"
"617","NH6272",7.23,"Deep"
"618","NH6275",8.45,"Deep"
"619","NH6277",16.67,"Deep"
"620","NH6278",9.4,"Deep"
"621","NH6281",6.75,"Deep"
"622","NH6282",6.64,"Deep"
"623","NH6284",5.88,"Deep"
"624","NH6285",4.95,"Deep"
"625","NH6286",8.55,"Deep"
"626","NH6287",3.75,"Deep"
"627","NH6288",6,"Deep"
"628","NH6327",6,"Deep"
"629","NH6328",2.44,"Deep"
"630","NH6338",8.91,"Deep"
"631","NH6344",12.38,"Deep"
"632","NH6345",8.73,"Deep"
"633","NH6348",5.62,"Deep"
"634","NH6349",33.33,"Deep"
"635","NH6350",11.11,"Deep"
"636","NH6351",6.66,"Deep"
"637","NH6352",5.55,"Deep"
"638","NH6353",10,"Deep"
"639","NH6354",16.67,"Deep"
"640","NH6355",33.33,"Deep"
"641","NH6356",50,"Deep"
"642","NH6359",16.67,"Deep"
"643","NH6360",33.33,"Deep"
"644","NH6361",18.6,"Deep"
"645","NH6362",19.6,"Deep"
"646","NH6371",11.11,"Deep"
"647","NH6372",7.07,"Deep"
"648","NH6373",5.82,"Deep"
"649","NH6375",7.8,"Deep"
"650","NH6378",7.07,"Deep"
"651","NH6381",8.67,"Deep"
"652","NH6385",6.58,"Deep"
"653","NH6387",4.62,"Deep"
"654","NH6441",7.69,"Deep"
"655","NH6442",8.33,"Deep"
"656","NH6444",11.11,"Deep"
"657","NH6445",6.46,"Deep"
"658","NH6448",5.5,"Deep"
"659","NH6449",11.62,"Deep"
"660","NH6450",12,"Deep"
"661","NH6454",33.33,"Deep"
"662","NH6455",12.38,"Deep"
"663","NH6459",12.5,"Deep"
"664","NH6460",20,"Deep"
"665","NH6461",16.67,"Deep"
"666","NH6462",12.5,"Deep"
"667","NH6464",5.73,"Deep"
"668","NH6465",0.42,"Deep"
"669","NH6469",12.5,"Deep"
"670","NH6470",7.69,"Deep"
"671","NH6471",3.63,"Deep"
"672","NH6475",9,"Deep"
"673","NH6476",14.14,"Deep"
"674","NH6477",10,"Deep"
"675","NH6478",4.53,"Deep"
"676","NH6480",6.25,"Deep"
"677","NH6481",14.29,"Deep"
"678","NH6482",4.4,"Deep"
"679","NH6485",5.82,"Deep"
"680","NH6486",5.58,"Deep"
"681","NH6541",9.09,"Deep"
"682","NH6542",11.11,"Deep"
"683","NH6543",4.76,"Deep"
"684","NH6544",14.29,"Deep"
"685","NH6545",16.67,"Deep"
"686","NH6546",16.17,"Deep"
"687","NH6547",4.6,"Deep"
"688","NH6548",5.46,"Deep"
"689","NH6549",7.54,"Deep"
"690","NH6550",6.86,"Deep"
"691","NH6551",6.08,"Deep"
"692","NH6552",3.4,"Deep"
"693","NH6553",9.9,"Deep"
"694","NH6556",11.11,"Deep"
"695","NH6557",24.5,"Deep"
"696","NH6558",50,"Deep"
"697","NH6559",25,"Deep"
"698","NH6560",50,"Deep"
"699","NH6561",25,"Deep"
"700","NH6562",16.67,"Deep"
"701","NH6563",20,"Deep"
"702","NH6565",4.29,"Deep"
"703","NH6567",8.75,"Deep"
"704","NH6568",11,"Deep"
"705","NH6569",5.5,"Deep"
"706","NH6570",5.21,"Deep"
"707","NH6576",8.44,"Deep"
"708","NH6577",5.88,"Deep"
"709","NH6578",3.5,"Deep"
"710","NH6580",5.88,"Deep"
"711","NH6581",7,"Deep"
"712","NH6586",5.06,"Deep"
"713","NH6642",12.5,"Deep"
"714","NH6643",8.33,"Deep"
"715","NH6644",7.14,"Deep"
"716","NH6645",11.11,"Deep"
"717","NH6646",45.5,"Deep"
"718","NH6647",4.17,"Deep"
"719","NH6648",1.65,"Deep"
"720","NH6649",2.71,"Deep"
"721","NH6651",7.62,"Deep"
"722","NH6655",9.09,"Deep"
"723","NH6658",16.17,"Deep"
"724","NH6659",16.33,"Deep"
"725","NH6660",50,"Deep"
"726","NH6661",50,"Deep"
"727","NH6666",3.57,"Deep"
"728","NH6669",20,"Deep"
"729","NH6670",12.5,"Deep"
"730","NH6677",6.06,"Deep"
"731","NH6678",5.78,"Deep"
"732","NH6679",4.91,"Deep"
"733","NH6680",4.76,"Deep"
"734","NH6681",11,"Deep"
"735","NH6686",3.47,"Deep"
"736","NH6687",3.75,"Deep"
