tile_name,Anthropogentic,Geological,Hydrological,Landforms,Organic,Petrological,Weathering
HU3042,0,0,0,0,16,0,0
HU3043,0,0,0,0,5.5,0,0
HU3044,0,0,0,0,8.333333333,0,0
HU3045,0,0,9,0,18.66666667,0,0
HU3046,0,0,0,0,100,0,0
HU3047,0,0,0,0,100,0,0
HU3048,0,0,0,0,32.33333333,0,0
HU3049,0,0,0,0,31.33333333,0,0
HU3050,0,0,7,0,17.66666667,0,0
HU3051,0,0,2.25,0,18,0,0
HU3052,0,0,0,0,26,0,0
HU3053,0,0,0,0,45.5,0,0
HU3054,0,0,0,0,46.5,0,0
HU3055,0,0,0,0,18,0,0
HU3056,0,0,1.098901099,0,0.4995005,0,0
HU3057,0,0,0.635785649,0,0,0,0
HU3059,0,0,0.5,0,0,0,0
HU3060,0,0,0.25,0,0,0,0
HU3063,0,0,1.2,0,0,0,0
HU3064,0,0,5.333333333,0,0,0,0
HU3065,0,0,5.25,0,0,0,0
HU3066,0,0,1.75,0,0,0,0
HU3067,0,0,1.5,0,0,0,0
HU3070,0,0,1.4,0,0,0,0
HU3071,0,0,2.333333333,0,0,0,0
HU3072,0,0,1.498501499,0,0,0,0
HU3073,0,0,2.333333333,0,0,0,0
HU3074,0,0,1,0,0.833333333,0,0
HU3075,0,0,2.552719201,0,0.332963374,0,0
HU3076,0,0,7.4,0,0,0,0
HU3077,0,0,6.990014265,0,3.138373752,0,0
HU3078,0,0,8.273894437,0,1.854493581,0,0.427960057
HU3079,0,0,4.328523862,0,3.107658158,0,0
HU3080,0,0,1.886792453,0,1.66481687,0,0
HU3081,0,0,2.2,0,6.8,0,0
HU3082,0,0,3.708987161,0,0.285306705,0,0
HU3083,0,0,4.25,0,0,0,0
HU3084,0,0,10.25,0,0.75,0,0
HU3085,0,0,10.98626717,0,0.873907615,0,0
HU3086,0,0,4.217536071,0,2.219755827,0,0
HU3087,0,0,1.997780244,0,0.110987791,0,0
HU3089,0,0,3.333333333,0,0.333333333,0,0
HU3090,0,0,0.5,0,0,0,0
HU3142,0,0,0,0,0,0,0
HU3143,0,0,0,0,23.5,0,0
HU3144,0,0,3.5,0,1.666666667,0,0
HU3145,0,0,1.5,0,10.33333333,0,0
HU3146,0,0,0,0,45.5,0,0
HU3147,0,0,0,0,100,0,0
HU3148,0,0,0,0,49,0,0
HU3149,0,0,0,0,100,0,0
HU3150,0,0,0,0,49,0,0
HU3151,0,0,2,0,9.666666667,0,0
HU3152,0,0,4.707560628,0,6.562054208,0,0
HU3153,0,0,0,0,49.5,0,0
HU3154,0,0,2,0,31,0,0
HU3155,0,0,0,0,25.66666667,0,0
HU3156,0,0,0,0,22,0,0
HU3157,0,0,1.854493581,0,2.853067047,0,0
HU3158,0,0,0,0,4.333333333,0,0
HU3159,0,0,1,0,0,0,0
HU3160,0,0,0.5,0,0,0,0
HU3162,0,0,2.2,0,0,0,0
HU3163,0,0,3.75,0,0,0,0
HU3164,0,0,7.4,0,1,0,0
HU3165,0,0,4.4,0,0.4,0,0
HU3166,0,0,1.854493581,0,0.427960057,0,0
HU3167,0,0,1,0,0,0,0
HU3169,0,0,0.5,0,0,0,0
HU3170,0,0,0.554938957,0,1.220865705,0,0
HU3171,0,0,1.570306924,0,0.927908637,0,0
HU3172,0,0,0.14985015,0,1.098901099,0,0
HU3173,0,0,0.374531835,0,1.248439451,0,0
HU3174,0,0,3.833333333,0,0.166666667,0,0
HU3175,0,0,1.598401598,0,1.598401598,0,0
HU3176,0,0,6.367041199,0,0.998751561,0,0
HU3177,0,0,7.166666667,0,3.333333333,0,0
