"","tile_name","Canal","River_length"
"618","HU4172",0,1729
"619","HU4173",0,3616
"620","HU4174",0,372
"621","HU4175",0,140
"622","HU4224",0,2248
"623","HU4225",0,1924
"624","HU4227",0,909
"625","HU4228",0,2028
"626","HU4229",0,533
"627","HU4230",0,1089
"628","HU4234",0,156
"629","HU4235",0,2880
"630","HU4237",0,0
"631","HU4238",0,393
"632","HU4239",0,1389
"633","HU4240",0,1325
"634","HU4241",0,1786
"635","HU4243",0,2567
"636","HU4244",0,2528
"637","HU4245",0,5263
"638","HU4246",0,1614
"639","HU4247",0,122
"640","HU4250",0,5
"641","HU4251",0,673
"642","HU4252",0,0
"643","HU4254",0,1351
"644","HU4261",0,526
"645","HU4262",0,1623
"646","HU4264",0,514
"647","HU4265",0,1287
"648","HU4268",0,1466
"649","HU4269",0,194
"650","HU4273",0,493
"651","HU4276",0,1165
"652","HU4323",0,494
"653","HU4324",0,645
"654","HU4325",0,194
"655","HU4327",0,73
"656","HU4328",0,1349
"657","HU4329",0,2275
"658","HU4330",0,1688
"659","HU4331",0,2067
"660","HU4332",0,2351
"661","HU4333",0,1350
"662","HU4335",0,995
"663","HU4336",0,1032
"664","HU4337",0,304
"665","HU4338",0,368
"666","HU4341",0,496
"667","HU4342",0,1687
"668","HU4343",0,1272
"669","HU4344",0,117
"670","HU4345",0,550
"671","HU4346",0,1350
"672","HU4350",0,640
"673","HU4351",0,28
"674","HU4352",0,0
"675","HU4353",0,864
"676","HU4354",0,2056
"677","HU4357",0,311
"678","HU4358",0,396
"679","HU4360",0,148
"680","HU4361",0,1180
"681","HU4362",0,2502
"682","HU4363",0,688
"683","HU4364",0,1804
"684","HU4368",0,1272
"685","HU4374",0,319
"686","HU4375",0,170
"687","HU4376",0,758
"688","HU4428",0,381
"689","HU4429",0,986
"690","HU4430",0,917
"691","HU4433",0,100
"692","HU4436",0,1218
"693","HU4437",0,106
"694","HU4438",0,344
"695","HU4439",0,330
"696","HU4445",0,765
"697","HU4446",0,807
"698","HU4453",0,210
"699","HU4454",0,1037
"700","HU4455",0,285
"701","HU4457",0,847
"702","HU4458",0,300
"703","HU4461",0,447
"704","HU4463",0,2450
"705","HU4473",0,1231
"706","HU4474",0,640
"707","HU4475",0,31
"708","HU4484",0,389
"709","HU4488",0,64
"710","HU4489",0,601
"711","HU4490",0,794
"712","HU4494",0,583
"713","HU4528",0,163
"714","HU4529",0,3
"715","HU4539",0,83
"716","HU4540",0,930
"717","HU4541",0,612
"718","HU4542",0,610
"719","HU4543",0,1801
"720","HU4546",0,163
"721","HU4553",0,499
"722","HU4554",0,236
"723","HU4557",0,182
"724","HU4558",0,1631
"725","HU4559",0,673
"726","HU4560",0,1291
"727","HU4561",0,808
"728","HU4563",0,388
"729","HU4564",0,23
"730","HU4565",0,790
"731","HU4574",0,415
"732","HU4575",0,223
"733","HU4584",0,318
"734","HU4587",0,1228
"735","HU4588",0,295
"736","HU4589",0,574
"737","HU4591",0,681
"738","HU4592",0,496
"739","HU4639",0,117
"740","HU4640",0,21
"741","HU4642",0,1188
"742","HU4643",0,1166
"743","HU4653",0,429
"744","HU4654",0,1340
"745","HU4655",0,670
"746","HU4659",0,1198
"747","HU4660",0,1516
"748","HU4663",0,1870
"749","HU4664",0,29
"750","HU4665",0,1182
"751","HU4666",0,311
"752","HU4679",0,1174
"753","HU4680",0,873
"754","HU4686",0,39
"755","HU4687",0,1973
"756","HU4688",0,143
"757","HU4690",0,566
"758","HU4691",0,1963
"759","HU4692",0,1110
"760","HU4693",0,348
"761","HU4694",0,139
"762","HU4695",0,662
"763","HU4753",0,186
"764","HU4754",0,6
"765","HU4759",0,1635
"766","HU4760",0,1293
"767","HU4763",0,700
"768","HU4764",0,569
"769","HU4765",0,933
"770","HU4778",0,177
"771","HU4779",0,404
"772","HU4783",0,1647
"773","HU4784",0,1383
"774","HU4786",0,361
"775","HU4794",0,465
"776","HU4796",0,1449
"777","HU4797",0,0
"778","HU4838",0,739
"779","HU4839",0,199
"780","HU4842",0,705
"781","HU4843",0,91
"782","HU4857",0,888
"783","HU4858",0,192
"784","HU4863",0,1938
"785","HU4864",0,1392
"786","HU4865",0,103
"787","HU4880",0,761
"788","HU4881",0,1152
"789","HU4882",0,1411
"790","HU4883",0,147
"791","HU4884",0,479
"792","HU4888",0,967
"793","HU4889",0,683
"794","HU4891",0,368
"795","HU4892",0,506
"796","HU4893",0,1064
"797","HU4895",0,1243
"798","HU4896",0,830
"799","HU4897",0,1345
"800","HU4898",0,425
"801","HU4899",0,0
"802","HU4937",0,21
"803","HU4938",0,3009
"804","HU4939",0,2653
"805","HU4940",0,3401
"806","HU4941",0,402
"807","HU4942",0,527
"808","HU4943",0,450
"809","HU4944",0,265
"810","HU4958",0,1286
"811","HU4959",0,539
"812","HU4980",0,2038
"813","HU4981",0,1223
"814","HU4982",0,752
"815","HU4987",0,818
"816","HU4988",0,400
"817","HU4989",0,732
"818","HU4990",0,1124
"819","HU4991",0,3378
"820","HU4992",0,1214
"821","HU4993",0,861
"822","HU4994",0,414
"823","HU4996",0,56
"824","HU4997",0,19
"825","HU4998",0,103
"826","HU4999",0,0
"827","HU5039",0,174
"828","HU5040",0,1516
"829","HU5041",0,525
"830","HU5042",0,1026
"831","HU5043",0,1266
"832","HU5059",0,0
"833","HU5063",0,211
"834","HU5064",0,543
"835","HU5082",0,1020
"836","HU5083",0,592
"837","HU5088",0,729
"838","HU5089",0,1322
"839","HU5090",0,1205
"840","HU5091",0,1143
"841","HU5092",0,729
"842","HU5093",0,947
"843","HU5096",0,197
"844","HU5097",0,605
"845","HU5098",0,1116
"846","HU5099",0,1650
"847","HU5136",0,667
"848","HU5137",0,185
"849","HU5140",0,263
"850","HU5141",0,1885
"851","HU5143",0,296
"852","HU5179",0,2017
"853","HU5180",0,977
"854","HU5183",0,43
"855","HU5185",0,699
"856","HU5190",0,488
"857","HU5191",0,115
"858","HU5192",0,1901
"859","HU5193",0,34
"860","HU5194",0,225
"861","HU5197",0,386
"862","HU5198",0,577
"863","HU5279",0,709
"864","HU5280",0,71
"865","HU5283",0,968
"866","HU5285",0,789
"867","HU5286",0,1262
"868","HU5287",0,965
"869","HU5288",0,742
"870","HU5289",0,1300
"871","HU5291",0,411
"872","HU5292",0,715
"873","HU5294",0,475
"874","HU5295",0,8
"875","HU5297",0,317
"876","HU5298",0,698
"877","HU5340",0,228
"878","HU5387",0,834
"879","HU5388",0,1633
"880","HU5389",0,98
"881","HU5392",0,773
"882","HU5395",0,177
"883","HU5396",0,871
