"","tile_name","HF"
"733","HU5562",5
"734","HU5563",1
"735","HU5564",2
"736","HU5662",3
"737","HU5663",1
"738","HU5664",1
"739","HU5665",6
"740","HU5762",3
"741","HU5764",5
"742","HU5765",1
"743","HU5766",2
"744","HU5863",1
"745","HU5864",1
"746","HU5892",2
"747","HU5966",2
"748","HU5967",2
"749","HU6090",3
"750","HU6091",1
"751","HU6290",3
"752","HU6291",3
"753","HU6389",1
"754","HU6390",1
"755","HU6393",1
"756","HU6489",1
"757","HU6490",2
"758","HU6491",2
"759","HU6492",2
"760","HU6589",1
"761","HU6689",1
"762","HY2004",2
"763","HY2101",1
"764","HY2104",1
"765","HY2105",3
"766","HY2112",2
"767","HY2200",2
"768","HY2203",1
"769","HY2212",2
"770","HY2224",1
"771","HY2300",2
"772","HY2301",1
"773","HY2303",3
"774","HY2304",1
"775","HY2310",1
"776","HY2315",1
"777","HY2318",1
"778","HY2323",1
"779","HY2324",2
"780","HY2401",1
"781","HY2402",3
"782","HY2403",1
"783","HY2410",2
"784","HY2412",2
"785","HY2413",1
"786","HY2416",1
"787","HY2420",1
"788","HY2427",1
"789","HY2505",1
"790","HY2508",1
"791","HY2512",6
"792","HY2517",1
"793","HY2519",1
"794","HY2522",2
"795","HY2523",2
"796","HY2524",1
"797","HY2605",1
"798","HY2611",1
"799","HY2612",1
"800","HY2614",1
"801","HY2616",1
"802","HY2621",1
"803","HY2622",1
"804","HY2623",1
"805","HY2710",1
"806","HY2711",2
"807","HY2715",2
"808","HY2718",1
"809","HY2719",1
"810","HY2721",4
"811","HY2722",2
"812","HY2723",3
"813","HY2724",2
"814","HY2725",1
"815","HY2812",1
"816","HY2815",1
"817","HY2817",1
"818","HY2819",3
"819","HY2820",4
"820","HY2821",3
"821","HY2824",1
"822","HY2825",6
"823","HY2828",1
"824","HY2829",1
"825","HY2906",3
"826","HY2907",2
"827","HY2908",1
"828","HY2909",1
"829","HY2910",1
"830","HY2912",2
"831","HY2915",4
"832","HY2918",1
"833","HY2919",5
"834","HY2921",1
"835","HY2924",2
"836","HY2925",7
"837","HY2926",1
"838","HY2927",2
"839","HY3004",3
"840","HY3006",4
"841","HY3007",1
"842","HY3008",2
"843","HY3010",1
"844","HY3012",1
"845","HY3013",1
"846","HY3014",1
"847","HY3015",1
"848","HY3016",2
"849","HY3018",1
"850","HY3019",2
"851","HY3021",1
"852","HY3022",1
"853","HY3023",1
"854","HY3025",1
"855","HY3029",2
"856","HY3105",8
"857","HY3107",1
"858","HY3108",1
"859","HY3109",1
"860","HY3111",5
"861","HY3112",1
"862","HY3114",2
"863","HY3116",1
"864","HY3119",2
"865","HY3121",1
"866","HY3122",1
"867","HY3123",1
"868","HY3124",1
"869","HY3204",1
"870","HY3206",1
"871","HY3207",3
"872","HY3208",3
"873","HY3210",2
"874","HY3211",1
"875","HY3212",1
"876","HY3218",1
"877","HY3219",2
"878","HY3222",3
"879","HY3223",1
"880","HY3226",3
"881","HY3304",8
"882","HY3305",2
"883","HY3306",4
"884","HY3307",3
"885","HY3308",1
"886","HY3310",2
"887","HY3311",2
"888","HY3312",2
"889","HY3313",1
"890","HY3315",1
"891","HY3317",3
"892","HY3321",1
"893","HY3327",1
"894","HY3404",4
"895","HY3406",1
"896","HY3408",2
"897","HY3409",2
"898","HY3410",1
"899","HY3412",3
"900","HY3413",2
"901","HY3415",2
"902","HY3416",1
"903","HY3417",1
"904","HY3418",1
"905","HY3419",1
"906","HY3428",1
"907","HY3504",5
"908","HY3505",2
"909","HY3506",1
"910","HY3508",4
"911","HY3509",4
"912","HY3510",1
"913","HY3511",1
"914","HY3512",1
"915","HY3522",1
"916","HY3524",1
"917","HY3525",2
"918","HY3526",3
"919","HY3527",2
"920","HY3605",2
"921","HY3607",5
"922","HY3608",3
"923","HY3609",4
"924","HY3611",1
"925","HY3614",1
"926","HY3615",1
"927","HY3616",1
"928","HY3618",1
"929","HY3620",1
"930","HY3625",2
"931","HY3626",3
"932","HY3630",1
"933","HY3631",6
"934","HY3632",1
"935","HY3706",9
"936","HY3707",3
"937","HY3717",2
"938","HY3718",4
"939","HY3719",3
"940","HY3720",1
"941","HY3725",1
"942","HY3726",3
"943","HY3731",1
"944","HY3732",1
"945","HY3810",1
"946","HY3811",2
"947","HY3812",3
"948","HY3816",2
"949","HY3817",1
"950","HY3818",5
"951","HY3821",2
"952","HY3822",1
"953","HY3823",1
"954","HY3824",2
"955","HY3825",1
"956","HY3832",1
"957","HY3833",4
"958","HY3907",1
"959","HY3908",2
"960","HY3909",1
"961","HY3911",7
"962","HY3912",6
"963","HY3916",2
"964","HY3917",1
"965","HY3918",2
"966","HY3919",4
"967","HY3921",1
"968","HY3923",1
"969","HY3932",1
"970","HY3933",3
"971","HY4007",2
"972","HY4009",1
"973","HY4014",1
"974","HY4018",1
"975","HY4029",1
"976","HY4033",1
"977","HY4106",1
"978","HY4107",1
"979","HY4108",1
"980","HY4109",3
"981","HY4110",1
"982","HY4111",1
"983","HY4112",2
"984","HY4113",1
"985","HY4118",1
"986","HY4119",2
"987","HY4120",1
"988","HY4211",2
"989","HY4218",1
"990","HY4219",1
"991","HY4220",1
"992","HY4231",1
"993","HY4243",2
"994","HY4244",1
"995","HY4245",1
"996","HY4247",1
"997","HY4248",2
"998","HY4308",3
"999","HY4313",1
"1000","HY4330",4
"1001","HY4331",1
"1002","HY4332",1
"1003","HY4343",2
"1004","HY4344",1
"1005","HY4345",3
"1006","HY4346",1
"1007","HY4347",2
"1008","HY4348",2
"1009","HY4408",1
"1010","HY4409",4
"1011","HY4431",4
"1012","HY4445",3
"1013","HY4504",1
"1014","HY4506",1
"1015","HY4507",2
"1016","HY4508",1
"1017","HY4544",3
"1018","HY4545",1
"1019","HY4605",1
"1020","HY4613",2
"1021","HY4644",1
"1022","HY4645",1
"1023","HY4701",1
"1024","HY4703",1
"1025","HY4707",5
"1026","HY4708",6
"1027","HY4745",6
"1028","HY4746",1
"1029","HY4802",1
"1030","HY4806",1
"1031","HY4807",1
"1032","HY4808",3
"1033","HY4901",1
"1034","HY4902",1
"1035","HY4904",1
"1036","HY4905",3
"1037","HY4907",1
"1038","HY4918",1
"1039","HY4919",1
"1040","HY4944",2
"1041","HY5003",1
"1042","HY5007",6
"1043","HY5008",1
"1044","HY5009",3
"1045","HY5104",14
"1046","HY5105",2
"1047","HY5107",4
"1048","HY5108",5
"1049","HY5109",2
"1050","HY5202",5
"1051","HY5204",8
"1052","HY5302",3
"1053","HY5332",2
"1054","HY5402",1
"1055","HY5406",4
"1056","HY5407",1
"1057","HY5506",2
"1058","HY5532",1
"1059","HY5533",1
"1060","HY5605",2
"1061","HY5606",1
"1062","HY5628",1
"1063","HY5629",1
"1064","HY5630",1
"1065","HY5632",4
"1066","HY5704",1
"1067","HY5705",3
"1068","HY5729",1
"1069","HY6122",2
"1070","HY6525",1
"1071","HY6623",1
"1072","HY6624",1
"1073","HY6625",1
"1074","HY6638",1
"1075","HY6721",1
"1076","HY6722",1
"1077","HY6739",1
"1078","HY6846",1
"1079","HY6939",1
"1080","HY6945",1
"1081","HY7038",2
"1082","HY7039",1
"1083","HY7041",2
"1084","HY7242",2
"1085","HY7244",4
"1086","HY7444",1
"1087","HY7544",2
"1088","HY7545",1
"1089","HZ1970",1
"1090","HZ2070",1
"1091","HZ2071",3
"1092","HZ2072",1
"1093","HZ2171",4
"1094","NA9825",1
"1095","NA9826",2
"1096","NA9827",1
"1097","NA9922",1
