tile_name,MEAN_elev
SS4116,173.016875
SS4117,128.433125
SS4118,120.874375
SS4119,141.08
SS4120,145.77875
SS4121,143.450625
SS4122,95.075
SS4123,73.82375
SS4124,102.568125
SS4125,98.854375
SS4126,71.778125
SS4127,45.255
SS4128,26.505625
SS4129,0.024375
SS4130,0
SS4131,0
SS4132,0
SS4133,0
SS4134,0
SS4135,0
SS4136,0
SS4137,0
SS4138,0
SS4139,0
SS4140,0.256875
SS4141,0
SS4142,0
SS4143,0
SS4144,0
SS4145,0
SS4146,0
SS4147,0
SS4148,0
SS4149,0
SS4180,0
SS4181,0
SS4182,0
SS4183,0
SS4184,0
SS4185,0
SS4186,0
SS4187,44.691875
SS4188,49.039375
SS4189,54.438125
SS4190,44.1925
SS4191,7.78125
SS4192,26.296875
SS4200,156.2775
SS4201,178.59
SS4202,162.61
SS4203,116.32125
SS4204,131.300625
SS4205,132.67375
SS4206,121.80875
SS4207,102.240625
SS4208,107.678125
SS4209,111.70125
SS4210,134.1025
SS4211,126.48875
SS4212,139.520625
SS4213,153.004375
SS4214,173.856875
SS4215,172.333125
SS4216,158.3925
SS4217,127.07625
SS4218,119.9225
SS4219,122.540625
SS4220,120.3075
SS4221,114.015
SS4222,65.93125
SS4223,70.7275
SS4224,96.284375
SS4225,87.256875
SS4226,59.189375
SS4227,37.330625
SS4228,66.961875
SS4229,2.315625
SS4230,0
SS4231,0
SS4232,0
SS4233,0
SS4234,0
SS4235,0
SS4236,0
SS4237,0
SS4238,-0.015625
SS4239,0.81625
SS4240,46.429375
SS4241,0.0625
SS4242,0
SS4243,0
SS4244,0
SS4245,0
SS4246,0
SS4247,0
SS4248,0
SS4249,0
SS4280,0
SS4281,0
SS4282,0
SS4283,0
SS4284,0
SS4285,0
SS4286,13.459375
SS4287,63.765
SS4288,132.135
SS4289,117.256875
SS4290,68.8575
SS4291,39.209375
SS4292,65.1975
SS4300,174.996875
SS4301,179.24625
SS4302,147.710625
SS4303,115.2525
SS4304,104.246875
SS4305,109.07875
SS4306,95.04125
SS4307,110.829375
SS4308,134.265625
SS4309,137.554375
SS4310,146.115
SS4311,128.4275
SS4312,137.38125
SS4313,150.78
SS4314,167.01625
SS4315,167.51875
SS4316,159.38875
SS4317,134.026875
SS4318,111.889375
SS4319,94.66375
SS4320,78.866875
SS4321,52.9275
SS4322,46.44
SS4323,98.28
SS4324,71.494375
SS4325,76.33875
SS4326,52.745625
SS4327,33.795
SS4328,66.130625
SS4329,7.991875
SS4330,1.39875
SS4331,0.08125
SS4332,0
SS4333,0
SS4334,0
SS4335,0
SS4336,0
SS4337,0.92
SS4338,33.73375
SS4339,15.200625
SS4340,54.795
SS4341,0
SS4342,0
SS4343,0
SS4344,0
SS4345,0
SS4346,0
SS4347,0
SS4348,0
SS4349,0
SS4380,0
SS4381,0
SS4382,0
SS4383,0
SS4384,0
SS4385,3.205
SS4386,53.333125
SS4387,75.9225
SS4388,94.8125
SS4389,73.903125
SS4390,98.13625
SS4391,94
SS4392,140.43
SS4400,185.030625
SS4401,172.23625
SS4402,138.924375
SS4403,118.759375
SS4404,101.215
SS4405,125.948125
SS4406,95.65875
SS4407,121.71125
SS4408,152.55625
SS4409,152.216875
SS4410,155.883125
SS4411,152.22
SS4412,153.21625
SS4413,147.89625
SS4414,148.491875
SS4415,155.804375
SS4416,133.940625
SS4417,157.936875
SS4418,133.5625
SS4419,114.2675
SS4420,101.3925
SS4421,73.27875
SS4422,49.000625
SS4423,81.940625
SS4424,59.90125
SS4425,74.06625
SS4426,47.285
SS4427,27.9025
SS4428,60.1325
SS4429,18.24375
SS4430,4.738125
SS4431,3.9725
SS4432,0
SS4433,2.10875
SS4434,5.478125
SS4435,4.8975
SS4436,3.770625
SS4437,16.92625
SS4438,89.326875
SS4439,43.934375
SS4440,48.8075
SS4441,0.174375
SS4442,0
SS4443,0
SS4444,0
SS4445,9.85125
SS4446,0
SS4447,0
SS4448,0
SS4449,0
SS4480,0
SS4481,0
SS4482,0
SS4483,0
SS4484,0.008125
SS4485,42.75125
SS4486,86.175
SS4487,73.488125
SS4488,70.4725
SS4489,58.196875
SS4490,64.379375
SS4491,64.239375
SS4492,107.5675
SS4500,156.071875
SS4501,151.964375
SS4502,148.213125
SS4503,150.410625
SS4504,118.73125
SS4505,114.949375
SS4506,89.4725
SS4507,121.8875
SS4508,149.575625
SS4509,159.3275
SS4510,158.531875
SS4511,155.29
SS4512,157.71125
SS4513,157.83625
SS4514,155.911875
SS4515,148.079375
SS4516,124.24625
SS4517,115.2475
SS4518,124.87375
SS4519,90.20375
SS4520,112.143125
SS4521,94.66625
SS4522,74.690625
SS4523,38.469375
SS4524,47.178125
SS4525,21.50875
SS4526,18.413125
SS4527,7.448125
SS4528,28.728125
SS4529,31.35375
SS4530,11.326875
SS4531,0.326875
SS4532,2.8375
SS4533,10.47125
SS4534,15.88875
SS4535,13.590625
SS4536,12.47625
SS4537,30.52625
SS4538,108.405
SS4539,74.916875
SS4540,88.773125
SS4541,85.359375
SS4542,51.640625
SS4543,13.298125
SS4544,45.623125
SS4545,66.126875
SS4546,1.439375
SS4547,0
SS4548,0
SS4549,0
SS4580,0
SS4581,0
SS4582,0
SS4583,0
SS4584,4.569375
SS4585,72.878125
SS4586,88.143125
SS4587,62.640625
SS4588,56.216875
SS4589,46.81625
SS4590,43.416875
SS4591,66.149375
SS4592,62.66125
SS4600,152.2675
SS4601,139.64
SS4602,131.618125
SS4603,151.395625
SS4604,128.670625
SS4605,106.768125
SS4606,86.944375
SS4607,117.5875
SS4608,146.288125
SS4609,143.249375
SS4610,144.32625
SS4611,133.69125
SS4612,150.49
SS4613,146.274375
SS4614,167.121875
SS4615,144.65375
SS4616,108.039375
SS4617,91.915
SS4618,113.04625
SS4619,96.87125
SS4620,82.030625
SS4621,79.2825
SS4622,27.514375
SS4623,21.65
SS4624,16.826875
SS4625,67.74625
SS4626,31.833125
SS4627,27.015625
SS4628,16.5275
SS4629,8.571875
SS4630,13.15625
SS4631,0.13
SS4632,4.810625
SS4633,7.168125
SS4634,6.415
SS4635,6.756875
SS4636,9.016875
SS4637,17.276875
SS4638,95.784375
SS4639,90.085
SS4640,126.71375
SS4641,180.054375
SS4642,171.781875
SS4643,83.250625
SS4644,142.17625
SS4645,119.740625
SS4646,41.921875
SS4647,0
SS4648,0
SS4649,0
SS4680,0
SS4681,0
SS4682,0
SS4683,0
SS4684,8.26375
SS4685,45.7525
SS4686,75.708125
SS4687,56.3025
SS4688,54.71125
SS4689,51.068125
SS4690,42.834375
SS4691,47.20625
SS4692,43.604375
SS4700,146.0375
SS4701,128.900625
SS4702,133.21375
SS4703,138.515
SS4704,129.3575
SS4705,96.125
SS4706,80.724375
SS4707,107.50625
SS4708,116.435
SS4709,119.583125
SS4710,122.988125
SS4711,139.23375
SS4712,148.2975
SS4713,127.921875
SS4714,155.316875
SS4715,139.715625
SS4716,110.04125
SS4717,121.163125
SS4718,93.01125
SS4719,54.303125
SS4720,29.54875
SS4721,31.009375
SS4722,65.9075
SS4723,51.7675
SS4724,73.076875
SS4725,86.159375
SS4726,40.49875
SS4727,25.88625
SS4728,47.621875
SS4729,29.3875
SS4730,28.495625
SS4731,4.705
SS4732,0.5625
SS4733,1.744375
SS4734,3.278125
SS4735,5.763125
SS4736,8.779375
SS4737,52.96625
SS4738,111.789375
SS4739,109.7575
SS4740,130.226875
SS4741,149.614375
SS4742,163.243125
SS4743,144.7325
SS4744,176.089375
SS4745,133.136875
SS4746,48.873125
SS4747,0
SS4748,0
SS4749,0
SS4780,0
SS4781,0
SS4782,0
SS4783,0
SS4784,0.091875
SS4785,20.004375
SS4786,87.551875
SS4787,77.783125
SS4788,49.138125
SS4789,52.770625
SS4790,84.16875
SS4791,55.779375
SS4792,51.71125
SS4800,133.3325
SS4801,117.4725
SS4802,122.00625
SS4803,113.846875
SS4804,136.73375
SS4805,88.716875
SS4806,93.385
SS4807,102.29375
SS4808,128
SS4809,140.254375
SS4810,147.15125
SS4811,133.905
SS4812,117.156875
SS4813,109.219375
SS4814,128.758125
SS4815,126.653125
SS4816,131.98375
SS4817,142.44125
SS4818,63.855625
SS4819,60.491875
SS4820,70.409375
SS4821,55.234375
SS4822,82.434375
SS4823,103.1
SS4824,120.69375
SS4825,102.244375
SS4826,56.525
SS4827,50.3525
SS4828,61.400625
SS4829,59.073125
SS4830,68.469375
SS4831,24.495625
SS4832,4.130625
SS4833,0.91
SS4834,3.486875
SS4835,6.100625
SS4836,17.573125
SS4837,58.618125
SS4838,97.69
SS4839,92.595625
SS4840,118.83625
SS4841,128.03375
SS4842,184.199375
